1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
138.4500,140.7900,135.9000,136.5500,135.5747,4226470,0.0000,1.0
136.2600,137.6400,134.8200,137.4300,136.4484,3256068,0.0000,1.0
136.3300,136.9400,134.0500,135.6100,134.6414,3397506,0.0000,1.0
135.6700,136.3600,134.4200,135.7500,134.7804,2753488,0.0000,1.0
134.5100,136.7600,134.3400,135.0200,134.0556,2991492,0.0000,1.0
137.4200,138.2500,135.2600,135.7600,134.7903,3697688,0.0000,1.0
137.2400,138.1800,135.1100,135.7100,134.7407,3522805,0.0000,1.0
135.4000,136.2900,134.7500,135.6300,134.6612,4805110,0.0000,1.0
134.3000,135.9400,133.1300,135.1200,134.1549,4461856,0.0000,1.0
130.3700,133.5400,129.3120,133.5200,132.5663,3327977,0.0000,1.0
132.1200,132.8400,128.9300,129.4100,128.4857,5715065,0.0000,1.0
131.3500,132.0100,129.6500,131.7700,130.8288,4021898,0.0000,1.0
133.2700,134.4500,128.9700,131.9800,131.0373,4144129,0.0000,1.0
136.3900,136.7100,134.1700,134.2800,133.3209,3382608,0.0000,1.0
132.9200,135.0200,132.7800,134.7200,133.7577,3448644,0.0000,1.0
137.2900,137.2900,132.3500,133.8300,132.8741,6682448,0.0000,1.0
135.2200,136.0400,133.3100,134.5500,133.5890,3892867,0.0000,1.0
